pharmacy|药房；配药学，药剂学；制药业；一批备用药品
allocate|分配；拨出；使坐落于
translucent|透明的；半透明的
divide|划分；除；分开；使产生分歧 n. [地理] 分水岭，分水线
lurid|可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
optimism|乐观；乐观主义
reckless|鲁莽的，不顾后果的；粗心大意的 n. (Reckless)人名；(英)雷克利斯
mercurial|水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的 n. 汞剂；水银剂
relapse|故态复萌；旧病复发；再度堕落；再陷邪道 n. 复发，再发；故态复萌；回复原状
apothecary|药剂师；药师；药材商
rampant|猖獗的；蔓延的；狂暴的；奔放的 n. (Rampant)人名；(法)朗庞
scholastic|学校的；学者的；学术的（等于scholastical） n. 学者；学生；墨守成规者；经院哲学家
saponaceous|圆滑的；肥皂似的；口齿伶俐的
assonant|类韵的；谐音的
arbitrary|[数] 任意的；武断的；专制的
proportion|比例，占比；部分；面积；均衡 v. 使成比例；使均衡；分摊
crass|愚钝的；粗鲁的；非常的 n. (Crass)人名；(英)克拉斯
botanical|植物学的 n. 植物性药材
urine|尿
grief|悲痛；忧伤；不幸
annihilation|灭绝；消灭
audible|听得见的
bigamist|重婚者
metal|金属；合金 v. 以金属覆盖 adj. 金属制的
humane|仁慈的，人道的；高尚的
catholicity|普遍性；宽容
acoustic|声学的；音响的；听觉的 n. 原声乐器；不用电传音的乐器
engender|使产生；造成
idealize|理想化；形成思想
disorient|使…迷惑；使…失去方向感
evoke|引起，唤起；博得
mainstream|主流
belief|相信，信赖；信仰；教义
discontinue|停止；使中止
nucleon|[高能] 核子
sensitivity|敏感；敏感性；过敏
dignify|使高贵；增威严；授以荣誉
dividend|红利；股息；[数] 被除数；奖金
prolong|延长；拖延
diplomatic|外交的；外交上的；老练的
refugee|难民，避难者；流亡者，逃亡者
resourceful|资源丰富的；足智多谋的；机智的
economic|经济的，经济上的；经济学的
electrode|顽皮雷弹
difference|差异；不同；争执
nauseous|令人作呕的；厌恶的
protract|绘制；延长；伸展
inebriate|灌醉；使陶醉；使兴奋 adj. 酒醉的；醉醺醺的；陶醉的 n. 酒鬼；醉汉
myopia|[眼科] 近视；目光短浅，缺乏远见
dour|严厉的；顽强的；阴沉的；不爱讲话的 n. (Dour)人名；(法)杜尔
innovative|革新的，创新的；新颖的；有创新精神的
penumbra|半影
canon|标准；教规；正典圣经；教士
volt|伏特（电压单位）；环骑；闪避
tangible|有形的；切实的；可触摸的 n. 有形资产
stability|稳定性；坚定，恒心
autopsy|验尸；[病理][特医] 尸体解剖；[病理][特医] 尸体剖检
foreordain|注定；预定命运
corpse|尸体
midpoint|中点；正中央
quandary|困惑；窘境；为难
transmit|传输；传播；发射；传达；遗传
emit|发出，放射；发行；发表
atonement|赎罪；补偿，弥补
altar|祭坛；圣坛；圣餐台
hoary|久远的，古老的；灰白的
isothermal|等温的；等温线的 n. 等温线
corpulent|肥胖的
interrupt|中断；打断；插嘴；妨碍 n. 中断
immediate|立即的；直接的；最接近的
complication|并发症；复杂；复杂化；混乱
grandeur|壮丽；庄严；宏伟
altruist|爱他主义者；利他主义者
genetic|遗传的；基因的；起源的
canny|精明的，谨慎的；节约的 n. (Canny)人名；(英)坎尼
economical|经济的；节约的；合算的
wean|使断奶；使断念；使放弃 n. （苏格兰）幼儿
latest|最迟地；最后地 n. 最新的事物 adj. 最新的，最近的；最迟的，最后的
altruism|利他；利他主义
munificence|慷慨给与；宽宏大量
curve|曲线；弯曲；曲线球；曲线图表 v. 弯；使弯曲 adj. 弯曲的；曲线形的
antagonism|对抗，敌对；对立；敌意
convoluted|复杂的；费解的；旋绕的 v. 盘绕；缠绕（convolute的过去分词）
polyglot|通晓数种语言的人；用通晓数种语言记载的书 adj. 通数国语言，数国语言的
antagonist|敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
opaque|不透明的；不传热的；迟钝的 n. 不透明物 vt. 使不透明；使不反光
initiate|开始，创始；发起；使初步了解 n. 开始；新加入者，接受初步知识者 adj. 新加入的；接受初步知识的
inexplicable|费解的；无法说明的；不能解释的
glucose|葡萄糖；葡糖（等于dextrose）
perilous|危险的，冒险的
soporific|催眠剂；安眠药 adj. 催眠的；想睡的
ingredient|原料；要素；组成部分 adj. 构成组成部分的
pithy|有髓的，多髓的；精练的；简洁有力的
frugal|节俭的；朴素的；花钱少的
abbey|大修道院，大寺院；修道院中全体修士或修女
refract|使折射
disclose|公开；揭露
comestibles|食物 adj. 可吃的，可食的
undersell|抛售；以低于市价售出
arrear|欠款，逾期债款；待完成的工作
sumptuous|华丽的，豪华的；奢侈的
mendacious|虚假的；说谎的
gaiety|快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
bisect|平分；二等分
alcohol|酒精，乙醇
syndrome|[临床] 综合症状；并发症状；校验子；并发位
mediator|调停者；传递者；中介物
radius|半径，半径范围；[解剖] 桡骨；辐射光线；有效航程
invective|谩骂的；恶言的 n. 恶言漫骂
tonic|补药；主调音或基音 adj. 滋补的；声调的；使精神振作的
loquacious|饶舌的，多话的
legacy|遗赠，遗产
intrepid|无畏的；勇敢的；勇猛的
egoism|利己主义，自我主义
trestle|[交] 栈桥，高架桥；支架，搁凳
switch|转换；用鞭子等抽打 n. 开关；转换；鞭子
probation|试用；缓刑；查验
bulwark|壁垒；保障；防波堤 v. 保护；筑垒保卫
fluctuate|波动；涨落；动摇
slothful|怠惰的，懒惰的；迟钝的
rectitude|公正；诚实；清廉
gyrate|旋转 adj. 旋涡状的
zephyr|和风；西风；轻薄织物
furbish|磨光；恢复；更新
artery|动脉；干道；主流
equivocate|说模棱两可的话；支吾， 躲闪；推诿；含糊其词
irreverent|不敬的，无礼的
pedagogy|教育；教育学；教授法
prelude|前奏；序幕；前奏曲 v. 成为…的序幕；演奏…作为前奏曲
tedious|沉闷的；冗长乏味的
tarnish|晦暗，无光泽；污点 v. 玷污；使……失去光泽；使……变灰暗
kernel|核心，要点；[计] 内核；仁；麦粒，谷粒；精髓
factual|事实的；真实的
venial|可原谅的；（罪过）轻微的；可宽恕的
interrogate|审问；质问；[计] 询问
endemic|地方性的；风土的 n. 地方病
degree|程度，等级；度；学位；阶层
verity|真实；真理；事实；真实性
sonorous|响亮的；作响的；能发出响亮声音的
crystallization|结晶化；具体化
bug|臭虫，小虫；故障；窃听器 v. 烦扰，打扰；装窃听器
ratiocination|推理；推论
monocracy|独裁政治
reversible|可逆的；可撤消的；可反转的 n. 双面布料
beget|产生；招致；引起；当…的父亲
swift|褐雨燕 adj. 快的；迅速的；敏捷的；立刻的 adv. 迅速地
inflammable|易燃的；易怒的；易激动的 n. 易燃物
hydrate|水合物；氢氧化物 v. 使成水化合物
demur|反对；抗辩；提出异议 n. 异议；反对
aroma|芳香
incommodious|不便的；狭窄的
latent|潜在的；潜伏的；隐藏的
submission|投降；提交（物）；服从；（向法官提出的）意见；谦恭
disguise|掩饰；假装；隐瞒 n. 伪装；假装；用作伪装的东西
geology|地质学；地质情况
reproduce|复制；再生；生殖；使…在脑海中重现
stratum|（组织的）层；[地质] 地层；社会阶层
regenerate|使再生；革新 adj. 再生的；革新的
engrave|雕刻；铭记
epistolary|书信的；书信体的；用书信的
enterprise|企业；事业；进取心；事业心
mollify|平息，缓和；使…平静；使…变软
facetious|诙谐的；爱开玩笑的；滑稽的；(尤指在不合适的时候)开玩笑的
nutrition|营养，营养学；营养品
cognitive|认知的，认识的
auspice|赞助，主办；吉兆
outstretch|拉长；伸展得超出的范围
pitch|倾斜；投掷；搭帐篷；坠落 n. 沥青；音高；程度；树脂；倾斜；投掷；球场
encumber|阻塞；妨害；拖累
exposure|暴露；曝光；揭露；陈列
litmus|[试剂] 石蕊
audacity|大胆；厚颜无耻
imbue|灌输；使感染；使渗透
armful|一抱之量；双手合抱量
eject|喷射；驱逐，逐出
hilarious|欢闹的；非常滑稽的；喜不自禁的
complement|补语；余角；补足物 v. 补足，补助
recurrent|复发的；周期性的，经常发生的
immortal|不朽的；神仙的；长生的 n. 神仙；不朽人物
comprehend|理解；包含；由…组成
predetermine|预先确定；预先决定；预先查明
cramp|痉挛，绞痛；[五金] 铁夹钳 v. 束缚，限制；使…抽筋；以铁箍扣紧 adj. 狭窄的；难解的；受限制的
harbinger|先驱；前兆；预告者 v. 预告；充做…的前驱
boycott|联合抵制；拒绝参加 n. 联合抵制
aphorism|格言；警句
rampart|壁垒；垒；防御土墙 vt. 用壁垒围绕；防卫
afoot|在进行中的；徒步的；准备中 adv. 在进行中，在准备中
bacterium|[微] 细菌；杆菌属
potential|潜能；可能性；[电] 电势 adj. 潜在的；可能的；势的
eschew|避免；避开；远避
dogmatic|教条的；武断的
bombardier|投弹手；炮兵下士
inheritance|继承；遗传；遗产
pillage|掠夺；抢劫 n. 掠夺；掠夺物
blunder|跌跌撞撞地走；犯大错 n. 大错
uproarious|骚动的；喧嚣的
centiliter|[计量] 厘升，公勺
antagonize|使…敌对；使…对抗；对…起反作用
homogeneity|同质；同种；同次性（等于homogeneousness）
belittle|轻视；贬低；使相形见小
magnanimous|宽宏大量的；有雅量的；宽大的
abyss|深渊；深邃，无底洞，地狱
belated|迟来的；误期的
kidney|[解剖] 肾脏；腰子；个性
fledgling|无经验的人；刚会飞的幼鸟
monk|僧侣，修道士；和尚
indomitable|不屈不挠的；不服输的；不气馁的
solemn|庄严的，严肃的；隆重的，郑重的
arrogant|自大的，傲慢的
upheaval|剧变；隆起；举起
personality|个性；品格；名人
rescind|解除；废除；撤回
allude|暗指，转弯抹角地说到；略为提及，顺便提到
sapiential|智慧的；明智的；赋予智慧的
mutilate|切断，毁坏；使…残缺不全；使…支离破碎
ravage|毁坏；破坏；掠夺 n. 蹂躏，破坏
prophetic|预言的，预示的；先知的
instant|立即的；紧急的；紧迫的 n. 瞬间；立即；片刻
charlatan|吹牛者；江湖医生 adj. 骗人的
wreak|发泄；报仇；造成（巨大的破坏或伤害）
portfolio|公文包；文件夹；证券投资组合；部长职务
cathartic|导泻的；通便的 n. [药] 泻药；[药] 通便药
wretch|可怜的人，不幸的人；卑鄙的人
image|影像；想象；肖像；偶像 v. 想象；反映；象征；作…的像
residual|剩余；残渣 adj. 剩余的；残留的
eloquence|口才；雄辩；雄辩术；修辞
causal|因果关系的；有原因的 n. 表示原因的连词
transmission|传动装置，[机] 变速器；传递；传送；播送
pragmatic|实际的；实用主义的；国事的
indecipherable|无法解释的；破译不出的；难辨认的
explicit|明确的；清楚的；直率的；详述的
valor|英勇；勇猛（等于valour）
vermicide|杀蠕虫药；打虫药
citadel|城堡；大本营；避难处
adjutant|副官，助手 adj. 辅助的
cadent|有节奏的；降落的
resolute|坚决的；果断的
hemoglobin|[生化] 血红蛋白（等于haemoglobin）；血红素
beck|招手；点头；（英）小河
fatalism|宿命论
immense|巨大的，广大的；无边无际的；非常好的
blithe|愉快的；快乐无忧的
florid|绚丽的；气色好的
satisfy|令人满意；令人满足
superior|上级的；优秀的，出众的；高傲的 n. 上级，长官；优胜者，高手；长者
treatise|论述；论文；专著
exclusive|独有的；排外的；专一的 n. 独家新闻；独家经营的项目；排外者
excellent|卓越的；极好的；杰出的
extensive|广泛的；大量的；广阔的
loot|战利品；抢劫；掠夺品 v. 抢劫，洗劫；强夺
repute|名誉；声望 v. 名誉；认为；把…称为
battery|[电] 电池，蓄电池
loop|打环；翻筋斗 n. 环；圈；弯曲部分；翻筋斗
domain|领域；域名；产业；地产
carrion|腐肉的；腐朽的 n. 腐肉；臭尸；不洁之物
biennial|两年一次的 n. [植] 二年生植物
postwar|战后的 n. 战后时期 adv. 战后；在战后
intruder|侵入者；干扰者；妨碍者
populace|大众；平民；人口
monologue|独白
needy|贫困的；贫穷的；生活艰苦的 n. (Needy)人名；(英)尼迪
sheer|绝对的；透明的；峻峭的；纯粹的 adv. 完全；陡峭地 v. 偏航 n. 偏航；透明薄织物
intensive|加强的；集中的；透彻的；加强语气的 n. 加强器
linear|线的，线型的；直线的，线状的；长度的
beau|花花公子；喜修饰者；情郎 adj. 美的；好的
inhospitable|荒凉的；冷淡的，不好客的；不适居留的
suggestive|暗示的；提示的；影射的
affix|粘上；署名；将罪责加之于 n. [语] 词缀；附加物
exceptional|异常的，例外的 n. 超常的学生
opportune|适当的；恰好的；合时宜的
molt|脱毛；换毛 n. 换毛；脱皮；换毛期
independent|独立的；单独的；无党派的；不受约束的 n. 独立自主者；无党派者
succor|救援；援助者 v. 救援；援助
earthworm|[无脊椎] 蚯蚓
rightful|合法的；正当的；公正的；正直的
murderous|杀人的，残忍的；凶残的；蓄意谋杀的
beam|横梁；光线；电波；船宽；[计量] 秤杆 v. 发送；以梁支撑；用…照射；流露
pervert|使堕落；滥用；使反常 n. 堕落者；行为反常者；性欲反常者；变态
docile|温顺的，驯服的；容易教的
waive|放弃；搁置
deficient|不足的；有缺陷的；不充分的
almanac|年鉴；历书；年历
autocratic|专制的；独裁的，专横的
chilly|寒冷的；怕冷的 n. (Chilly)人名；(法)希伊
accusatory|非难的，指责的；控诉的，控告的
fungible|代替的；可取代的 n. 代替物
propriety|适当；礼节；得体
endurance|忍耐力；忍耐；持久；耐久
abominate|痛恨；憎恶
caitiff|卑劣的；胆小的 n. 卑鄙的人；胆小鬼
turgid|肿胀的；浮夸的；浮肿的
twinge|阵痛；悔恨 v. 使刺痛；使感到剧痛
liberal|自由主义的；慷慨的；不拘泥的；宽大的 n. 自由主义者
comical|滑稽的，好笑的
dignity|尊严；高贵
buoyant|轻快的；有浮力的；上涨的
compressible|可压缩的；可压榨的
ailment|小病；不安
asinine|驴的；愚蠢的，固执的；驴子似的
kleptomaniac|有窃盗癖的人
stellar|星的；星球的；主要的；一流的
abbess|女修道院院长；女庵主持
befriend|帮助；待人如友；扶助
sinuous|蜿蜒的；弯曲的；迂回的
lens|透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃 vt. 给……摄影
sanction|制裁，处罚；认可；支持 v. 制裁，处罚；批准；鼓励
interim|临时的，暂时的；中间的；间歇的 n. 过渡时期，中间时期；暂定
cadaverous|尸体样的；惨白的
contemporary|同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
gestate|使怀孕
arrogate|冒称；霸占；没来由地将…归属于
promulgate|公布；传播；发表
phase|月相
enforce|实施，执行；强迫，强制
redress|救济；赔偿；纠正；重新调整 n. 救济；赔偿；矫正
depress|压抑；使沮丧；使萧条
gall|胆汁；五倍子；怨恨；苦味 v. 烦恼；屈辱；磨伤
poise|平衡；姿势；镇静 v. 使平衡；保持姿势
ornate|华丽的；装饰的；（文体）绚丽的
angelic|天使的；似天使的；天国的
sensation|感觉；轰动；感动
nettle|刺激；惹恼；用荨麻刺 n. 荨麻 adj. 荨麻科的
disparity|不同；不一致；不等
frequency|频率；频繁
copious|丰富的；很多的；多产的
milestone|里程碑，划时代的事件
fidelity|保真度；忠诚；精确；尽责
apex|顶点；尖端
clemency|仁慈；温和；宽厚
quaint|古雅的；奇怪的；离奇有趣的；做得很精巧的
baton|指挥棒；接力棒；警棍；司令棒
termination|结束，终止
speed|超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
presentient|有预感的
instill|徐徐滴入；逐渐灌输
indicant|指示的；表示的 n. 指示物
approximation|[数] 近似法；接近；[数] 近似值
privilege|特权；优待 v. 给与…特权；特免
inculpable|无辜的；无可非议的
accompany|陪伴，伴随；伴奏
repulsion|排斥；反驳；反感；厌恶
amend|修改；改善，改进 n. (Amend)人名；(德、英)阿门德
asperity|（表面的）粗糙；（气候等的）严酷；艰苦的条件；（性格）粗暴
recondite|深奥的；隐藏的；默默无闻的
abusive|辱骂的；滥用的；虐待的
temperate|温和的；适度的；有节制的
inscrutable|神秘的；不可理解的；不能预测的；不可思议的
probity|廉洁；正直
herbivorous|[动] 食草的
onset|开始，着手；发作；攻击，进攻
ignition|点火，点燃；着火，燃烧；点火开关，点火装置
sustainable|可以忍受的；足可支撑的；养得起的；可持续的
ultimate|最终的；极限的；根本的 n. 终极；根本；基本原则
ardent|热情的；热心的；激烈的；燃烧般的 n. (Ardent)人名；(法)阿尔当
camouflage|伪装，掩饰 v. 伪装，掩饰
inclusive|包括的，包含的
adherence|坚持；依附；忠诚
argumentation|论证；争论；辩论
rouse|唤醒；激起，使振奋；惊起 n. 觉醒；奋起
realm|领域，范围；王国
verbose|冗长的；啰嗦的
feast|享受；款待，宴请 n. 筵席，宴会；节日
palatial|宫殿似的；宏伟的；壮丽的
congest|使充血；充塞
hospitable|热情友好的；（环境）舒适的
regime|政权，政体；社会制度；管理体制
perforate|穿孔于，打孔穿透；在…上打齿孔
abominable|讨厌的；令人憎恶的；糟透的
vilify|诽谤；中伤；轻视；贬低
commitment|承诺，保证；委托；承担义务；献身
disillusion|使醒悟；使不再抱幻想 n. 幻灭；醒悟
endorse|背书；认可；签署；赞同；在背面签名
neophyte|新信徒；新入教者；初学者
transgress|违反；侵犯；犯罪
inertia|[力] 惯性；惰性，迟钝；不活动
rapacious|贪婪的；掠夺的
oppressive|压迫的；沉重的；压制性的；难以忍受的
approbation|认可；赞许；批准
reputable|声誉好的；受尊敬的；卓越的
rampage|暴怒；暴跳；乱闹 v. 狂暴；乱闹；发怒
generosity|慷慨，大方；宽宏大量
accumulate|累积；积聚
listless|倦怠的；无精打采的；百无聊赖的
exterminate|消灭；根除
probate|[法] 遗嘱认证；处以缓刑；加以监护；在遗嘱认证法庭证明…精神失常 n. 遗嘱检验；经认证的遗嘱；遗嘱认证法院管辖范围内的一切事项 adj. [法] 遗嘱认证的
sediment|沉积；沉淀物
emancipation|解放；释放
necessity|需要；必然性；必需品
strait|狭窄的；苦恼的 n. 海峡；困境
surround|围绕；包围 n. 围绕物 adj. 环绕立体声的
utmost|极限；最大可能 adj. 极度的；最远的
gluttonous|贪吃的，暴食的；饕餮的
parallelogram|平行四边形
wrangle|争论；吵嘴 v. 争论；争吵
gambol|雀跃；耍闹 n. 雀跃；嬉戏
vegetarian|素食者；食草动物 adj. 素食的
hypocritical|虚伪的；伪善的
outrageous|粗暴的；可恶的；令人吃惊的
crepuscular|黄昏的；朦胧的；拂晓的
vague|模糊的；含糊的；不明确的；暧昧的 n. (Vague)人名；(法)瓦格；(英)韦格
catastrophe|大灾难；大祸；惨败
portent|前兆；预示；迹象；异常之物
malignant|[医] 恶性的；有害的；有恶意的 n. 保王党员；怀恶意的人
piecemeal|零碎地；逐个地 adj. 零碎的；逐渐的 n. 片；块 vt. 粉碎
product|产品；结果；[数] 乘积；作品
idle|闲置的；懒惰的；停顿的 v. 无所事事；虚度；空转
plane|飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
hoard|积聚钱财；贮藏货物 n. 贮藏物
auspicious|吉兆的，吉利的；幸运的
archive|档案馆；档案文件 v. 把…存档
evanescent|容易消散的；逐渐消失的；会凋零的
reveal|显示；透露；揭露；泄露 n. 揭露；暴露；门侧，窗侧
auburn|赤褐色 adj. 赤褐色的，赭色的
mingle|混合；交往 n. (Mingle)人名；(加纳、英)明格尔
technology|技术；工艺；术语
insipid|清淡的；无趣的
palette|调色板；颜料
seditious|煽动性的；扰乱治安的；参与煽动的
hypnotic|催眠的，催眠术的；易于催眠的 n. 安眠药；催眠状态的人
temper|脾气；（钢等）回火；性情；倾向 v. 使回火；锻炼；调和；使缓和
versatile|多才多艺的；通用的，万能的；多面手的
pontiff|主教，教皇；罗马教宗
instigate|唆使；煽动；教唆；怂恿
eclectic|折衷的；选择的；折衷学派的 n. 折衷派的人；折衷主义者
underscore|强调；划线于…下 n. 底线，[计] 下划线
enmity|敌意；憎恨
pristine|原始的，古时的；纯朴的
trait|特性，特点；品质；少许
salamander|火蜥蜴；蝾螈目动物；耐火的人；烤箱
herbaceous|草本的；绿色的；叶状的
reiterate|重申；反复地做
deplete|耗尽，用尽；使衰竭，使空虚
stature|身高，身材；（精神、道德等的）高度
abbreviate|缩写，使省略；使简短
glance|一瞥；一滑；闪光 v. 扫视，匆匆一看；反光；瞥闪，瞥见
expulsion|驱逐；开除
loophole|漏洞；枪眼；换气孔；射弹孔
understate|少说，少报；保守地说；有意轻描淡写
remonstrate|责备，告诫；抗议；表示异议
discrepant|有差异的；相差的；矛盾的
endure|忍耐；容忍
hostility|敌意；战争行动
amply|充足地；广大地 n. (Amply)人名；(俄)安普利
euphonious|悦耳的
levy|征收；征兵，征税 v. 征收（税等）；征集（兵等）
fluctuation|起伏，波动
precarious|危险的；不确定的
superstitious|迷信的；由迷信引起的
acrid|辛辣的；苦的；刻薄的
alteration|修改，改变；变更
ado|忙乱，纷扰，麻烦
catastrophic|灾难的；悲惨的；灾难性的，毁灭性的
ethics|伦理学；伦理观；道德标准
theory|理论；原理；学说；推测
insight|洞察力；洞悉
dome|圆屋顶 vi. 成圆顶状 vt. 加圆屋顶于…上
add|加；增加；加起来；做加法 n. 加法，加法运算
gibe|嘲笑；愚弄 n. 嘲讽话
microscope|显微镜
isochronous|[物] 等时的；等步的
interchangeable|可互换的；可交换的；可交替的
butane|[有化] 丁烷
nausea|恶心，晕船；极端的憎恶
ample|丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔
semblance|外貌；假装；类似
radiate|辐射；传播；流露；发射；广播 adj. 辐射状的，有射线的
frustrate|挫败；阻挠；使感到灰心 adj. 挫败的；无益的
celebrate|庆祝；举行；赞美；祝贺；宣告
statute|[法] 法规；法令；条例
transcribe|转录；抄写
effectual|奏效的；会应验的；有法律效力的
deft|灵巧的；机敏的；敏捷熟练的
potent|有效的；强有力的，有权势的；有说服力的
buffoonery|滑稽；打诨
resource|资源，财力；办法；智谋
destructive|破坏的；毁灭性的；有害的，消极的
yip|叫喊声 v. 犬吠；尖叫
circumspect|细心的，周到的；慎重的
insulate|隔离，使孤立；使绝缘，使隔热
salvageable|可抢救的；可打捞的；可挽回的；能利用的
congenital|先天的，天生的；天赋的
nimble|敏捷的；聪明的；敏感的
painstaking|艰苦的；勤勉的；小心的 n. 辛苦；勤勉
intonation|声调，语调；语音的抑扬
monition|忠告；法庭传票；宗教法庭的诫谕
place|地方；住所；座位 v. 放置；任命；寄予
castigate|严惩；苛评；矫正；修订
composed|镇静的；沉着的 v. 组成；作曲（compose的过去分词）；著作
jocund|快活的；高兴的
untimely|不合时宜的；过早的 adv. 不合时宜地；过早地
respite|缓解；暂缓；暂时的休息；缓期执行 v. 使缓解；使暂缓；使延期；缓期执行
tantalize|逗弄；使干着急
homeostasis|[生理] 体内平衡；[自] 内稳态
acquaint|使熟悉；使认识
tortuous|扭曲的，弯曲的；啰嗦的
hadron|[高能] 强子（参与强相互作用的基本粒子）
bristle|猪鬃；刚毛 v. 发怒；竖起
abhorrent|可恶的；厌恶的；格格不入的
appease|使平息；使满足；使和缓；对…让步
digression|离题；脱轨
indulgent|放纵的；宽容的；任性的
ownership|所有权；物主身份
descendent|派生的；降落的；世袭的 n. 后裔；派生物
disparage|蔑视；毁谤
minuscule|小写字；草写小字 adj. 极小的；用草写小字写的
fallible|易犯错误的；不可靠的
hypercritical|吹毛求疵的，苛评的
zealous|热心的，热情的，积极的 n. (Zealous)人名；(英)泽勒斯
prescription|药方；指示；惯例 adj. 凭处方方可购买的
apprehensible|可理解的，可了解的
irritate|刺激，使兴奋；激怒
havoc|大破坏；浩劫；蹂躏 vt. 严重破坏 vi. 损毁
centipede|[无脊椎][中医] 蜈蚣
percipient|目光敏锐的；有洞察力的 n. 有感知力的人
shrivel|枯萎；皱缩
consummate|至上的；完美的；圆满的 v. 完成；作成；使达到极点
transgression|[地质] 海侵；犯罪；违反；逸出
descry|看见；发现；察看
demagoguery|散布谣言；煽动行为；群众煽动
irrevocable|不可改变的；不能取消的；不能挽回的
noxious|有害的；有毒的；败坏道德的；讨厌的
denote|表示，指示
induct|引导；感应；使…就职；征召入伍
discourse|论述；谈话；演讲 v. 演说；谈论；讲述
bipartisan|两党连立的；代表两党的
procrastinate|耽搁，延迟
facilitate|促进；帮助；使容易
transcend|胜过，超越
vocal|歌唱的；声音的，有声的 n. 声乐作品；元音
epidermis|上皮，表皮
induce|诱导；引起；引诱；感应
pare|消减；削皮；剪；修掉（边等） n. (Pare)人名；(英)佩尔；(法)帕尔
deleterious|有毒的，有害的
ambiguous|模糊不清的；引起歧义的
reasonable|合理的，公道的；通情达理的
field|领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
concoct|捏造；混合而制；调合；图谋
slick|光滑的；华而不实的；聪明的；熟练的；老套的 n. [机] 平滑器；[机] 修光工具；通俗杂志 adv. 灵活地；聪明地 v. 使光滑；使漂亮
sensibility|情感；敏感性；感觉；识别力
despicable|卑劣的；可鄙的
braggadocio|自夸，吹牛；吹牛大王
string|线，弦，细绳；一串，一行
plumb|使垂直；探测，探索 n. 垂直；铅锤 adv. 恰恰，正；垂直地 adj. 垂直的
moribund|垂死的；停滞不前的 n. 垂死的人
incumbent|现任的；依靠的；负有职责的 n. 在职者；现任者；领圣俸者
cancer|癌症；恶性肿瘤
lewd|淫荡的；猥亵的；下流的
ogle|向…抛媚眼；注视 n. 眉目传情；媚眼
aye|赞成票；投赞成票者 adv. 赞成
octagon|八边形，八角形
round|圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
askance|怀疑地；斜视地
outright|全部地；立刻地；率直地；一直向前；痛快地 adj. 完全的，彻底的；直率的；总共的
dissonant|刺耳的；不谐和的；不调和的
inspection|视察，检查
eligible|合格的，合适的；符合条件的；有资格当选的 n. 合格者；适任者；有资格者
finite|有限的；限定的 n. 有限之物
amount|总计，合计；相当于；共计；产生…结果 n. 数量；总额，总数
urchin|顽童，淘气鬼；海胆；刺猬
conservative|保守的 n. 保守派，守旧者
exasperate|恶化；使恼怒；激怒
spasmodic|痉挛的，痉挛性的；间歇性的
antecedent|前情；先行词；祖先 adj. 先行的；前驱的；先前的
submit|使服从；主张；呈递
cajolery|甜言蜜语；诱骗；谄媚
villainous|罪恶的；恶棍的；恶毒的；坏透的
impression|印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
fatuous|愚笨的；昏庸的；发呆的；自满的
putrid|腐败的；腐烂的；令人厌恶的
overt|明显的；公然的；蓄意的
input|投入；输入电路 v. [自][电子] 输入；将…输入电脑
noisome|恶臭的；有害的
choral|合唱的；合唱队的 n. 赞美诗；唱诗班
dispensation|分配；免除；豁免；天命
vindictive|怀恨的；有报仇心的；惩罚的
extricate|使解脱；解救；使游离
adept|熟练的；擅长…的 n. 内行；能手
acknowledge|承认；答谢；报偿；告知已收到
gamble|赌博；孤注一掷；投机；打赌 n. 赌博；冒险；打赌
archaic|古代的；陈旧的；古体的；古色古香的
repeal|废除；撤销；废止；放弃；否定 n. 废除；撤销
deprecate|反对；抨击；轻视；声明不赞成
accost|勾引；引诱；对…说话；搭讪
cantankerous|脾气坏的；爱吵架的；难相处的
expend|花费；消耗；用光；耗尽
reprobate|非难；拒绝；斥责 adj. 邪恶的；堕落的 n. 恶棍，无赖
didactic|说教的；教诲的
aversion|厌恶；讨厌的人
shun|避开，避免；回避 n. (Shun)人名；(日)春(姓)
melee|混战，格斗；互殴
liberty|自由；许可；冒失
multiform|多样的；多种形式的
sycophant|谄媚者；奉承者 adj. 奉承的；拍马的
inadvertent|疏忽的；不注意的（副词inadvertently）；无意中做的
extravagance|奢侈，浪费；过度；放肆的言行
atheism|不信神，无神论
iridescent|彩虹色的；闪光的
apathetic|冷漠的；无动于衷的，缺乏兴趣的
diaphanous|透明的；精致的；模糊的
